Name,Target
yash,1
prit,1
meet,1
drashti,0
saloni,0
hinal,0
jay,1
darshana,0
hardik,1
janvi,0
ronak,1
naman,1
khyati,0
sikha,0
minal,0
milan,1
kaushik,1
smit,1
ravina,0
priti,0
hetal,0
pooja,0
kishan,1
akshar,1
akshay,1
radhika,0
riya,0
komal,0
mihir,1
kunjal,1
moxil,1
mona,0
bhavya,1
bhavika,0
rina,0
hetavi,0
manoj,1
raghav,1
gopal,1
jasmin,1
akshay,1
sweta,0
vidhi,0
nayan,1
prashant,1
sonal,0
bhavika,0
bhavik,1
manthan,1
preet,1
darpit,1
harsh,1
kashyap,1
bhautik,1
dhruv,1
ishva,0
mitesh,1
denish,1
abhi,1
jenish,1
jenny,0
dhruvi,0
margi,0
kajal,0
mital,0
nevil,1
krishna,1
krishna,0
dhavni,0
hemanshi,0
ishaan,1
shyla,0
amar,1
diya,0
divya,0
ananya,0
jaya,0
sana,0
anjali,0
aditi,0
nikhil,1
shaan,1
sahil,1
darsh,1
ashwin,1
deven,1
shaila,0
salina,0
varun,1
devi,0
dhara,0
akhilesh,1
sunil,1
rajiv,1
bhanu,1
abhishek,1
abhimanyu,1
abhiman,1
bharat,1
ila,0
manisha,0
harshvi,0
harshav,1
anshu,0
shanti,0
hanshika,0
kamala,0
anuradha,0
dev,1
devendra,1
avinash,1
darsha,0
janak,1
chandani,0
mohan,1
laxmi,0
leela,0
abhay,1
alok,1
shalini,0
shivani,0
mansi,0
mazida,0
meena,0
hina,0
anita,0
balaraj,1
sharad,1
amit,1
sanjay,1
vikram,1
ram kumar,1
rohit,1
santosh,1
isha,0
sonam,0
shakshi ,0
sagar,1
neetu,0
prathamesh,1
sanjana,0
sneha,0
snehal,0
sanyukta,0
mohit,1
rohan,1
rehan,1
vaishaki,0
kanika,0
kareena,0
katrina,0
salman,1
abhijit,1
daya,0
jethalal,1
babita,0
iyer,1
vijay,1
roshan,1
reena,0
neha,0
pranjali,0
rushabh,1
hrutik,1
khushboo,0
khushi,0
jyoti,0
rekha,0
tina,0
varsha,0
pravin,1
prince,1
prem,1
anand,1
kavita,0
ruta,0
ritu,0
swamini,0
kadambari,0
priyanka,0
champa,0
ashu,0
monika,0
ketki,0
nihar,1
hanuman,1
anirudh,1
sahil,1
reet,1
riya,0
dinesh,1
mukesh,1
nilesha,1
gulabsing,1
leena,0
vertaj,1
siddhesh,1
riddhi,0
siddhi,0
ruchita,0
satyam,1
pragnesh,1
jignesh,1
gulam,1
shiv,1
deep,1
shivam,1
parth,1
dharam,1
saurbh,1
pankaj,1
ritesh,1
sumit,1
vivek,1
tejas,1
sarthak,1
preeti,0
himmat,1
hinal,0
atharva,1
sarvesh,1
pratik,1
tanmay,1
sanjiv,1
poonam,0
soumya,0
rushikesh,1
nishit,1
priya,0
shashank,1
tooba,0
ruby,0
purvi,0
sheetal,0
shraddhesh,1
kalyani,0
heet,1
heer,0
anushri,0
eram,0
sanket,1
sudhir,1
aakansha,0
jash,1
sayandip,1
faikha,0
jitesh,1
anshul,1
sumedh,1
satyarth,1
deepa,0
harsha,0
harsh,1
krishma,0
savita,0
rajan,1
noopur,0
ayush,1
kriti,0
nikita,0
mushk,0
rakhi,0
mamta,0
adarsh,1
ishan,1
janki,0
nitesh,1
sohini,0
rinku,0
doly,0
pavan,1
utsav,1
madhura,0
swati,0
viren,1
amita,1
reena,0
nimesh,1
pallavi,0
mayuresh,1
dimpal,0
alisha,0
zaid,1
misbah,0
jinal,0
nilam,0
ruchi,0
raj,1
usha,0
omkar,1
lalita,0
seema,0
mahesh,1
roshini,0
geeta,0
narendra,1
shenaz,1
kaustubh,1
anuja,0
kiran,0
rajni,0
arnav,1
palak,0
kamla,0
noor,0
saroj,0
dipika,0
shivam,1
ramnik,1
deepak,1
manoj,1
anshuman,1
shailesh,1
namira,0
rajesh,1
juhi,0
virti,0
raavi,0
ravi,1
manish,1
sunita,0
yashvi,0
div,1
taral,1
sarfarz,1
ali,1
rahul,1
yogita,0
rajendra,1
devki,0
durga,0
sonya,0
rubina,0
sangeeta,0
nisha,0
nishant,1
sita,1
mahendra,1
sachin,1
ravindra,1
ambati,1
mohin,1
virat,1
ruturaj,1
bhawati,0
prasad,1
pinkesh,1
nitin,1
heet,1
zeel,1
rakesh,1
akshat,1
akshita,0
akshta,0
ronak,1
rinkesh,1
vansh,1
devansh,1
devanshi,0
pritesh,1
ramesh,1
anubhav,1
shlok,1
shloka,0
amaira,0
nvya,0
vinod,1
dugu,0
tarjan,1
delsi,0
daisy,0
grace,0
charmi,0
vipul,1
veer,1
vipin,1
nayan,1
jatin,1
shadab,1
kabir,1
farhan,1
sabir,1
rishi,1
virendra,1
disha,0
saifali,0
darshil,1
rutava,0
tripti,0
trupti,0
trupal,1
sheela,0
sakshi,0
kalpit,1
ashmin,0
gulshan,1
parveen,1
monark,1
jitendra,1
afifa,0
akhsita,0
urja,0
bhumi,0
simmy,0
chahat,0
dhanvarsha,0
sandhya,0
dhruvesh,1
gurdeep,1
ranju,0
ekta,0
payal,0
foram,0
sonya,0
vimla,0
suman,0
dipal,0
sitaram,1
pinki,0
het,1
pinku,1
honey,0
jasbi,1
madhvi,0
ruksana,0
om,1
dixit,1
dixita,0
robin,1
devki,0
priyanshi,0
aditya,1
rashmi,0
manan,1
shahid,1
vandna,0
farida,0
suhasini,0
asha,0
sharmila,0
hina,0
gutam,1
jainam,1
mox,1
